,n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
12,357,The Long Dark Tea-Time of the Soul,Douglas Adams,4.06,"72,769 ratings","1,763   reviews","When a passenger check-in desk at London's Heathrow Airport disappears in a ball of orange flame, the explosion is deemed an act of God. But which god, wonders holistic detective Dirk Gently? What god would be hanging around Heathrow trying to catch the 3:37 to Oslo? And what has this to do with Dirk's latest--and late-- client, found only this morning with his head revolving atop the hit record ""Hot Potato""? Amid the hostile attentions of a stray eagle and the trauma of a very dirty refrigerator, super-sleuth Dirk Gently will once again solve the mysteries of the universe...",0671742515,9780671742515,Mass Market Paperback,,307 pages,Published       February 15th 1991        by Pocket Books                       (first published October 1988),"['Fiction', 'Fantasy', 'Science Fiction', 'Humor', 'Mystery']"
13,234184,Stone of Tears,Terry Goodkind,4.11,"99,649 ratings","1,691   reviews","In Wizard's First Rule, Richard Cypher's world was turned upside down. Once a simple woods guide, Richard was forced to become the Seeker of Truth, to save the world from the vile dominance of Darken Rahl, the most viciously savage and powerful wizard the world had ever seen. He was joined on this epic quest by his beloved Kahlan, the only survivor among the Confessors, who brought a powerful but benevolent justice to the land before Rahl's evil scourge. Aided by Zedd, the last of the wizards who opposed Rahl, they were able to cast him into the underworld, saving the world from the living hell of life under Rahl.But the veil to the underworld has been torn, and Rahl, from beyond the veil, begins to summon a sinister power more dreadful than any he has wielded before. Horrifying creatures escape through the torn veil, wreaking havoc on the unsuspecting world above.If Rahl isn't stopped, he will free the Keeper itself, an evil entity whose power is so vast and foul that once freed, it can never again be contained.Richard and Kahlan must face Rahl and the Keeper's terrible minions. But first, Richard must endure the ministrations of the Sisters of the Light, or die from the pain of magic that is his birthright and his curse. While Richard undertakes the arduous journey to the forbidden city of the Sisters, Kahlan must embark upon a long and dangerous mission to Aydindril, citadel of the old wizards, where she hopes to find Zedd and the help only he can lend to their desperate cause.War, suffering, torture, and deceit lie in their paths, and nothing will save them from a destiny of violent death, unless their courage and faith are joined with luck and they find the elusive...Stone of Tears.",0312857063,9780312857066,Hardcover,,703 pages,Published       September 15th 1995        by Tor Books,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy']"
14,43600950,The Mountain's Morning Song,William Graney,4.45,283 ratings,4   reviews,"Time is Different Here In the year 2052, a secret society hibernates in a small mountain town and guards the hidden mysteries contained in a nearby crystal cave. They know that a day of reckoning is approaching, but events in the United States, and around the world, cause an acceleration of the timeline.La Société de la Frontière Ouverte must awaken and prepare for the exodus.",0991055446,9780991055449,Paperback,First,346 pages,Published       January 16th 2019,['Book Club']
15,16282066,Significance,Shelly Crane,4.12,"40,669 ratings","2,800   reviews","A story by NEW YORK TIMES and USA TODAY bestselling Author, Shelly Crane.Maggie is a seventeen year old girl who's had a bad year. Her mom left, her dad is depressed, she's graduating, barely, and her boyfriend of almost three years dumped her for a college football scholarship. Lately she thinks life is all about hanging on by a thread and is gripping tight with everything she has.Then she meets Caleb.She saves his life and instantly knows there's something about him that's intriguing but she is supposed to be on her way to a date with his cousin. But things change when they touch, sparks ignite. Literally. They imprint with each other and she sees their future life together flash before her eyes. She learns that not only is she his soul mate, and can feel his heartbeat in her chest, but there is a whole other world of people with gifts and abilities that she never knew existed. She herself is experiencing supernatural changes unlike anything she's ever felt before and she needs the touch of his skin to survive. Now, not only has her dad come out of his depression to be a father again, and a pain as well, but Caleb's enemies know he's imprinted and are after Maggie to stop them both from gaining their abilities and take her from him. Can Caleb save her or will they be forced to live without each other after just finding one another?",1481200577,9781481200578,ebook,,387 pages,Published       June 2011        by Kiss Me Publications,"['Fantasy', 'Paranormal', 'Young Adult', 'Romance', 'Fantasy', 'Romance', 'Paranormal Romance']"
16,11925514,Code Name Verity,Elizabeth E. Wein,4.05,"85,246 ratings","13,693   reviews","Oct. 11th, 1943 - A British spy plane crashes in Nazi-occupied France. Its pilot and passenger are best friends. One of the girls has a chance at survival. The other has lost the game before it's barely begun. When ""Verity"" is arrested by the Gestapo, she's sure she doesn't stand a chance. As a secret agent captured in enemy territory, she's living a spy's worst nightmare. Her Nazi interrogators give her a simple choice: reveal her mission or face a grisly execution. As she intricately weaves her confession, Verity uncovers her past, how she became friends with the pilot Maddie, and why she left Maddie in the wrecked fuselage of their plane. On each new scrap of paper, Verity battles for her life, confronting her views on courage and failure and her desperate hope to make it home. But will trading her secrets be enough to save her from the enemy? Harrowing and beautifully written, Elizabeth Wein creates a visceral read of danger, resolve, and survival that shows just how far true friends will go to save each other. Code Name Verity is an outstanding novel that will stick with you long after the last page.",1405258217,9781405258210,Paperback,,452 pages,Published       February 6th 2012        by Egmont Press,"['Historical', 'Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'War', 'War', 'World War II']"
17,248482,Enna Burning,Shannon Hale,3.98,"37,169 ratings","3,616   reviews","Enna and Princess Isi became fast friends in The Goose Girl, but after Isi married Prince Geric, Enna returned to the forest. Enna's simple life changes forever when she learns to wield fire and burn anything at will. Enna is convinced that she can use her ability for good--to fight Tira, the kingdom threatening the Bayern borders--and goes on secret raids to set fire to the Tiran camps and villages. But as the power of the fire grows stronger, she is less able to control her need to burn. In her recklessness she is captured by the Tiran army and held captive by a handsome, manipulative young captain who drugs her to keep her under his influence. Can Isi and her old friends Finn and Razo rescue her without sacrificing themselves? And with the fire still consuming her, will Enna find a way to manage the gift that threatens to destroy her?",1582349061,9781582349060,Paperback,,317 pages,Published       September 1st 2006        by Bloomsbury Children's Books                       (first published September 15th 2004),"['Fantasy', 'Young Adult', 'Fiction', 'Romance']"
18,10589,Bag of Bones,Stephen King,3.89,"160,467 ratings","3,783   reviews","Four years after the sudden death of his wife, forty-year-old bestselling novelist Mike Noonan is still grieving. Unable to write, and plagued by vivid nightmares set at the western Maine summerhouse he calls Sara Laughs, Mike reluctantly returns to the lakeside getaway. There, he finds his beloved Yankee town held in the grip of a powerful millionaire, Max Devore, whose vindictive purpose is to take his three-year-old granddaughter, Kyra, away from her widowed young mother, Mattie. As Mike is drawn into Mattie and Kyra's struggle, as he falls in love with both of them, he is also drawn into the mystery of Sara Laughs, now the site of ghostly visitations and escalating terrors. What are the forces that have been unleashed here—and what do they want of Mike Noonan?It is no secret that King is one of our most mesmerizing storytellers. In Bag of Bones, he proves to be one of our most moving as well.(back cover)",067102423X,9780671024239,Mass Market Paperback,US / CAN Edition,736 pages,Published       June 1999        by Pocket Books                       (first published September 22nd 1998),"['Horror', 'Fiction', 'Thriller']"
19,7664334,Amy & Roger's Epic Detour,Morgan Matson,4.01,"82,939 ratings","8,313   reviews","
When you're on a road trip, life is all about the detours. . . .
Amy Curry is having a terrible year. Her mother has decided to move across the country and needs Amy to get their car from California to Connecticut. There's just one small problem: Since her father died this past spring, Amy hasn't been able to get behind the wheel. Enter Roger, the nineteen-year-old son of an old family friend, who turns out to be unexpectedly cute ... and dealing with some baggage of his own. Meeting new people and coming to terms with her father's death were not what Amy had planned on this trip. And traveling the Loneliest Road in America, seeing the Colorado mountains, crossing the Kansas plains, and visiting diners, dingy motels, and Graceland were definitely not on the itinerary. But as they drive, Amy finds that the people you least expected are the ones you may need the most—and that sometimes you have to get lost in order to find your way home.",1416990658,9781416990659,Hardcover,,343 pages,Published       May 4th 2010        by Simon  Schuster Books for Young Readers,"['Young Adult', 'Contemporary', 'Romance', 'Travel', 'Road Trip']"
20,44575575,Pleasant Day,Vera Jane Cook,4.30,"1,414 ratings",20   reviews,"In the town of Hollow Creek, South Carolina two separate murders, fifteen years apart, unite fifteen-year-old Pleasant Day and sixty-year-old Clarissa Blackwell. As Pleasant struggles with her mother's distance, her father's infidelity and the death of her best friend, she draws closer to Clarissa, an older woman with an uncanny, almost psychic, ability to 'read people.'As Clarissa uncovers the stories behind the murders, both Pleasant and Clarissa's worlds are transformed by the truths they’re forced to accept, and both find solace and strength in the shared histories that have shaped them.",English,English,Kindle Edition,,,Published       March 11th 2019        by Chattercreek                       (first published February 19th 2015),"['Contemporary', 'Drama']"
21,20564,The Mill on the Floss,George Eliot,3.79,"45,077 ratings","1,774   reviews","'If life had no love in it, what else was there for Maggie?'Brought up at Dorlcote Mill, Maggie Tulliver worships her brother Tom and is desperate to win the approval of her parents, but her passionate, wayward nature and her fierce intelligence bring her into constant conflict with her family. As she reaches adulthood, the clash between their expectations and her desires is painfully played out as she finds herself torn between her relationships with three very different men: her proud and stubborn brother, a close friend who is also the son of her family's worst enemy, and a charismatic but dangerous suitor. With its poignant portrayal of sibling relationships, The Mill on the Floss is considered George Eliot's most autobiographical novel; it is also one of her most powerful and moving.In this edition writer and critic A.S. Byatt provides full explanatory notes and an introduction relating Mill on the Floss to George Eliot's own life and times.Edited with an introduction and notes by A.S. BYATT",0141439629,9780141439624,Paperback,,579 pages,Published       February 27th 2003        by Penguin Classics                       (first published 1860),"['Classics', 'Fiction', 'Literature', '19th Century', 'Literature']"
22,31250,Little Dorrit,Charles Dickens,3.98,"41,760 ratings","1,444   reviews","A novel of serendipity, of fortunes won and lost, and of the spectre of imprisonment that hangs over all aspects of Victorian society, Charles Dickens's Little Dorrit is edited with an introduction by Stephen Wall in Penguin Classics.When Arthur Clennam returns to England after many years abroad, he takes a kindly interest in Amy Dorrit, his mother's seamstress, and in the affairs of Amy's father, William Dorrit, a man of shabby grandeur, long imprisoned for debt in Marshalsea prison. As Arthur soon discovers, the dark shadow of the prison stretches far beyond its walls to affect the lives of many, from the kindly Mr Panks, the reluctant rent-collector of Bleeding Heart Yard, and the tipsily garrulous Flora Finching, to Merdle, an unscrupulous financier, and the bureaucratic Barnacles in the Circumlocution Office. A masterly evocation of the state and psychology of imprisonment, Little Dorrit is one of the supreme works of Dickens's maturity.Stephen Wall's introduction examines Dickens's transformation of childhood memories of his father's incarceration in the Marshalsea debtors' prison. This revised edition includes expanded notes, appendices and suggestion for further reading by Helen Small, a chronology of Dickens's life and works, and original illustrations.Charles Dickens is one of the best-loved novelists in the English language, whose 200th anniversary was celebrated in 2012. His most famous books, including Oliver Twist, Great Expectations, A Tale of Two Cities, David Copperfield and The Pickwick Papers, have been adapted for stage and screen and read by millions.If you enjoyed Little Dorrit, you might like Dickens's Barnaby Rudge, also available in Penguin Classics.",0141439963,9780141439969,Paperback,,1021 pages,Published       September 25th 2003        by Penguin Classics                       (first published 1855),"['Classics', 'Fiction']"
23,16181,The Constant Princess,Philippa Gregory,3.90,"142,324 ratings","4,524   reviews","Splendid and sumptuous historical novel from the internationally bestselling author, Philippa Gregory, telling of the early life of Katherine of Aragon.We think of Katherine of Aragon as the barren wife of a notorious king; but behind this legacy lies a fascinating story.Katherine of Aragon is born Catalina, the Spanish Infanta, to parents who are both rulers and warriors. Aged four, she is betrothed to Arthur, Prince of Wales, and is raised to be Queen of England. She is never in doubt that it is her destiny to rule that far-off, wet, cold land.Her faith is tested when her prospective father-in-law greets her arrival in her new country with a great insult; Arthur seems little better than a boy; the food is strange and the customs coarse. Slowly she adapts to the first Tudor court, and life as Arthur’s wife grows ever more bearable.But when the studious young man dies, she is left to make her own future: how can she now be queen, and found a dynasty? Only by marrying Arthur’s young brother, the sunny but spoilt Henry. His father and grandmother are against it; her powerful parents prove little use. Yet Katherine is her mother’s daughter and her fighting spirit is strong.She will do anything to achieve her aim; even if it means telling the greatest lie, and holding to it.",0743272498,9780743272490,Paperback,,390 pages,Published       September 6th 2006        by Washington Square Press                       (first published 2005),"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance']"
24,16150830,Never Fade,Alexandra Bracken,4.28,"68,806 ratings","6,344   reviews","Ruby never asked for the abilities that almost cost her her life. Now she must call upon them on a daily basis, leading dangerous missions to bring down a corrupt government and breaking into the minds of her enemies. Other kids in the Children’s League call Ruby “Leader”, but she knows what she really is: a monster. When Ruby is entrusted with an explosive secret, she must embark on her most dangerous mission yet: leaving the Children’s League behind. Crucial information about the disease that killed most of America’s children—and turned Ruby and the others who lived into feared and hated outcasts—has survived every attempt to destroy it. But the truth is only saved in one place: a flashdrive in the hands of Liam Stewart, the boy Ruby once believed was her future—and who now wouldn’t recognize her. As Ruby sets out across a desperate, lawless country to find Liam—and answers about the catastrophe that has ripped both her life and America apart—she is torn between old friends and the promise she made to serve the League. Ruby will do anything to protect the people she loves. But what if winning the war means losing herself?",1423157516,9781423157519,Hardcover,,507 pages,Published       October 15th 2013        by Disney-Hyperion,"['Science Fiction', 'Dystopia', 'Young Adult', 'Fantasy']"
25,30120,Falling Up,Shel Silverstein,4.34,"118,883 ratings","1,478   reviews","
Millie McDeevit screamed a screamSo loud it made her eyebrows steam.She screamed so loudHer jawbone broke,Her tongue caught fire,Her nostrils smoked...
Poor Screamin' Millie is just one of the unforgettable characters in this wondrous new book of poems and drawings by the creator of Where the Sidewalk Ends and A Light in the Attic. Here you will also meet Allison Beals and her twenty-five eels; Danny O'Dare, the dancin' bear; the Human Balloon; and Headphone Harold.So come, wander through the Nose Garden, ride the Little Hoarse, eat in the Strange Restaurant, and let the magic of Shel Silverstein open your eyes and tickle your mind.",0060513098,9780060513092,Hardcover,,178 pages,Published       August 1st 2003        by Harpercollins Childrens Books                       (first published January 1st 1996),"['Poetry', 'Childrens']"
26,15992857,Baby,J.K. Accinni,3.81,839 ratings,220   reviews,"A gripping psychological thriller on the inherent greed and evil of man, dooming the planet.Two hundred years of tender love between man and alien, political downfalls, wanton violence of unspeakable order tempered with laughter, family loyalty and hope is the thrilling vehicle by which Ms Accinni conveys her cautionary tale of the merciless disrespect man gives his planet and the vulnerable creatures entrusted to him. ""Baby"" introduces Netty, a naive teenage farm girl given in marriage to an older brutal opportunist disguised as a successful citizen during the years of Prohibition in Sussex County, New Jersey. After years of enslavement, Netty flees into the night from her rapist and bootlegger husband, traveling back to the farm worked by her parents, where she rescues an unfamiliar damaged creature she finds in a cave in the woods of her childhood, falling in love with the enigmatic alien she names Baby. Together they find happiness and fulfillment despite the changes to Netty's body wrought by the proximity of the unusual creature.Damaged by entry into our atmosphere while pregnant, the confused creature forgets the purpose of his mission, appearing unconcerned with the disappearance of his offspring and savoring the unexpected joy of the love he shares with young Netty.When a handsome Italian stranger comes into Netty's life, complications ensue as she falls in love while trying to hide the bizarre and wondrous changes to her farm and her body. Netty, Baby and Wil strive to conquer obstacles thrown in their path by life, succeeding wildly until the heart-rending and astonishingly brutal climax to their story.This charming, yet brutal story is the prologue to a series that will chill and surprise you as it foretells the selfishly destructive path man has followed since his species evolved. It pulls no punches while allowing Netty and Baby's influence to transcend mortal life as the world dances toward depraved indifference, introducing other characters along the ride that readers will laugh,shed tears with and learn to despise.What lengths will Baby and his offspring go to complete their mission? Will it spell Armageddon for the beleaguered planet with its vulnerable and exploited creatures or will man tip the scales himself, leaving those that love the creatures to salvage the pitiful ruins?",B0092PLG16,B0092PLG16,Kindle Edition,,173 pages,Published       August 26th 2012        by Skinny Leopard Media,"['Science Fiction', 'Horror', 'Science Fiction', 'Aliens', 'Fantasy', 'Thriller']"
27,316845,The Sword in the Stone,T.H. White,3.91,"22,111 ratings",815   reviews,"""Learn. That is the only thing that never fails.""--Merlyn the WizardBefore there was a famous king named Arthur, there was a curious boy named Wart and a kind old wizard named Merlyn. Transformed by Merlyn into the forms of his fantasy, Wart learns the value of history from a snake, of education from a badger, and of courage from a hawk--the lessons that help turn a boy into a man. Together, Wart and Merlyn take the reader through this timeless story of childhood and adventure--The Sword in the Stone. T.H. White's classic tale of the young Arthur's questioning and discovery of his life is unparalleled for its wit and wisdom, and for its colorful characters, from the wise Merlyn to the heroic Robin Wood to the warmhearted King Pellinore.Golden Kite Honor artist Dennis Nolan has loved The Sword in the Stone since childhood, and he imbues White's tale with magic and mystery in his glowing illustrations. Readers who know Arthur or are meeting him for the first time will delight in this beautiful rendering of one of the greatest stories of all time.",000675399X,9780006753995,Paperback,Abridged Junior Classic,352 pages,Published       November 2nd 1998        by Collins                       (first published 1938),"['Fantasy', 'Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Mythology', 'Arthurian', 'Childrens', 'Young Adult', 'Fantasy', 'Mythology', 'Adventure', 'Historical']"
